0 , 24.345, 183 , 178 , 0
5 , 23.169, 193 , 150 , 10
31 , 19.7032, 215 , 172 , 32
32 , 17.3955, 222 , 77 , 39
107 , 15.5346, 223 , 58 , 40
1284 , 14.8352, 349 , 174 , 166
1619 , 14.8352, 425 , 250 , 242
1622 , 14.8331, 433 , 258 , 250
3662 , 14.5976, 538 , 363 , 355
6371 , 14.0399, 601 , 425 , 418
7648 , 14.0399, 676 , 500 , 493
15147 , 14.0399, 926 , 750 , 743
27398 , 14.0399, 1176 , 1000 , 993
29046 , 14.0016, 1273 , 1097 , 1090
35550 , 14.0016, 1426 , 1250 , 1243
43015 , 14.0016, 1676 , 1500 , 1493
43056 , 13.2801, 1693 , 1517 , 1510
44873 , 13.1383, 1736 , 1557 , 1553
