0 , 30.8148, 44 , 22
0 , 27.2882, 49 , 24
3 , 25.1353, 76 , 38
3 , 22.6212, 79 , 39
4 , 22.284, 89 , 43
9 , 21.0065, 123 , 58
10 , 17.1636, 136 , 61
30 , 16.571, 224 , 103
194 , 16.1836, 501 , 264
291 , 15.9887, 612 , 323
373 , 14.9594, 691 , 363
1999 , 14.3589, 1488 , 812
5693 , 14.2897, 2439 , 1341
7243 , 14.2061, 2727 , 1503
8387 , 13.169, 2920 , 1611
24950 , 13.1631, 5148 , 2699
27455 , 13.0852, 5414 , 2822
40551 , 13.0218, 6620 , 3389
59138 , 12.7198, 8036 , 4048
75824 , 12.6216, 9224 , 4550
