0 , 26.9085, 38 , 26 , 0
45 , 22.0429, 92 , 32 , 13
82 , 16.7817, 185 , 34 , 26
109 , 15.8084, 375 , 21 , 34
317 , 11.8442, 2838 , 49 , 99
636 , 11.3012, 16723 , 91 , 170
1323 , 11.0261, 51457 , 179 , 294
1702 , 10.5257, 71607 , 218 , 356
2265 , 10.2574, 113099 , 256 , 415
2370 , 9.85186, 122899 , 261 , 424
2419 , 9.67694, 128122 , 265 , 428
2652 , 9.40656, 155137 , 272 , 440
3030 , 9.1245, 195062 , 292 , 463
3723 , 7.69208, 286886 , 307 , 493
12529 , 7.03336, 1656736 , 380 , 624
21507 , 6.60953, 3148755 , 393 , 668
108497 , 6.58975, 17938644 , 581 , 1002
112245 , 5.66065, 18579436 , 589 , 1014
