0 , 42.6036, 45 , 14 , 0
17 , 42.0379, 49 , 16 , 4
122 , 38.7263, 71 , 24 , 26
157 , 38.0678, 82 , 28 , 37
619 , 36.8168, 201 , 69 , 156
632 , 25.2423, 202 , 70 , 157
734 , 23.1881, 217 , 78 , 172
893 , 15.2443, 259 , 88 , 214
1025 , 13.733, 279 , 67 , 234
4115 , 12.0049, 809 , 330 , 764
4387 , 11.3573, 844 , 345 , 799
12354 , 10.43, 1769 , 859 , 1724
21710 , 9.98535, 2555 , 1310 , 2510
25487 , 9.72712, 2840 , 1487 , 2795
28257 , 8.55699, 3043 , 1607 , 2998
59367 , 8.47318, 4718 , 2612 , 4673
66158 , 8.20671, 5046 , 2817 , 5001
