0 , 42.6036, 45 , 14 , 0
379 , 42.5403, 159 , 49 , 113
642 , 36.1009, 215 , 70 , 169
2025 , 30.8897, 463 , 150 , 414
2510 , 26.7788, 539 , 174 , 487
5699 , 26.7571, 926 , 287 , 839
6438 , 25.4716, 998 , 312 , 908
6540 , 24.905, 1023 , 320 , 932
6928 , 24.3284, 1044 , 329 , 951
7143 , 23.6803, 1080 , 342 , 984
7531 , 22.793, 1139 , 362 , 1039
8804 , 22.7492, 1337 , 408 , 1207
8860 , 21.494, 1346 , 411 , 1215
11806 , 20.6651, 1745 , 529 , 1552
16041 , 16.8854, 2421 , 690 , 2086
21431 , 16.2808, 3344 , 802 , 2655
29004 , 14.8517, 4452 , 1018 , 3281
51632 , 14.3022, 7844 , 1497 , 4840
