0 , 42.6036, 45 , 14 , 0
572 , 41.6774, 268 , 74 , 223
1014 , 32.7287, 378 , 117 , 333
3497 , 32.2463, 667 , 213 , 622
3632 , 26.6417, 687 , 220 , 642
5120 , 25.8845, 867 , 293 , 822
6782 , 22.5916, 1052 , 367 , 1007
11552 , 22.1852, 1267 , 472 , 1222
12009 , 20.5999, 1309 , 485 , 1264
20065 , 18.7514, 1714 , 630 , 1669
28143 , 18.0682, 2347 , 811 , 2302
48641 , 17.8198, 3564 , 1243 , 3519
48869 , 17.476, 3573 , 1250 , 3528
50151 , 17.1537, 3648 , 1274 , 3603
70376 , 16.8226, 4160 , 1425 , 4115
70575 , 16.5699, 4161 , 1426 , 4116
86317 , 15.2594, 5211 , 1752 , 5166
92768 , 14.3379, 5451 , 1864 , 5406
93435 , 14.1548, 5488 , 1855 , 5443
93818 , 13.8304, 5510 , 1866 , 5465
