0 , 24.345, 183 , 178 , 0
32 , 23.4838, 184 , 141 , 1
38 , 22.9982, 186 , 143 , 3
41 , 22.3892, 187 , 113 , 4
48 , 21.5309, 190 , 116 , 7
57 , 19.6218, 192 , 84 , 9
61 , 18.9394, 193 , 48 , 10
64 , 18.2713, 194 , 49 , 11
71 , 17.8437, 195 , 39 , 12
75 , 16.5691, 197 , 41 , 14
169 , 13.7475, 199 , 28 , 16
241 , 13.6779, 200 , 23 , 17
243 , 12.9324, 201 , 24 , 18
253 , 12.552, 206 , 26 , 23
3692 , 12.552, 430 , 250 , 247
3761 , 12.4661, 453 , 273 , 270
3764 , 11.7276, 454 , 274 , 271
3769 , 11.4345, 455 , 272 , 272
3858 , 11.2004, 481 , 297 , 298
3918 , 11.1, 499 , 315 , 316
32758 , 11.1, 711 , 500 , 528
