0 , 39.2005, 249 , 8 , 0
594 , 36.8912, 623 , 28 , 160
716 , 32.511, 676 , 32 , 185
897 , 31.6264, 975 , 34 , 243
1163 , 29.4026, 1197 , 42 , 289
1293 , 26.144, 1324 , 47 , 308
1345 , 25.8595, 1336 , 49 , 311
1381 , 23.5163, 1344 , 50 , 312
1482 , 13.0233, 1501 , 50 , 319
1627 , 10.7722, 2385 , 14 , 328
1844 , 9.47355, 3239 , 13 , 344
2027 , 8.1337, 3775 , 15 , 355
2211 , 6.49043, 4212 , 17 , 362
2263 , 6.35015, 4255 , 19 , 367
3003 , 5.04444, 5092 , 36 , 401
4508 , 4.95177, 6024 , 47 , 435
6963 , 4.43824, 7434 , 76 , 503
