0 , 16.5571, 91 , 6 , 0
21 , 14.2398, 445 , 10 , 11
181 , 13.1853, 2949 , 33 , 75
213 , 12.4173, 3763 , 36 , 83
291 , 12.1294, 5242 , 49 , 114
297 , 11.1957, 5295 , 51 , 117
646 , 8.72638, 14760 , 106 , 234
933 , 7.66123, 28350 , 136 , 290
1589 , 7.36884, 83302 , 201 , 388
2416 , 7.15525, 166331 , 273 , 510
4646 , 6.84237, 424779 , 424 , 775
4858 , 6.82568, 450843 , 439 , 796
10489 , 6.07221, 1120859 , 771 , 1315
20356 , 6.04537, 2492621 , 1018 , 1687
24160 , 5.77771, 3065505 , 1104 , 1822
50414 , 5.62072, 6990115 , 1593 , 2500
99669 , 5.36039, 14324664 , 2311 , 3474
